data,DataAgenda,dataseparado,dataseparadofim,dataseparadoinicio,Emp,Pedidos,Itens,Opcao2,opcao,operador,separador,setor,status
2019-06-21 16:53:38,2019-06-21 00:00:00,,2019-06-21 16:58:17,2019-06-21 16:54:41,1,224996,1,Cliente,C,iranildov,micaelp,Deposito,F
2019-06-21 16:46:45,2019-06-21 00:00:00,,2019-06-21 16:52:55,2019-06-21 16:48:31,1,224992,2,Cliente,C,gersono,jeissonc,Deposito,F
2019-06-21 16:33:48,2019-06-21 00:00:00,,2019-06-21 17:01:08,2019-06-21 16:41:48,1,224986,5,Abastecimento,N,viviand,JEFFEMBERGJONAS,Deposito,F
2019-06-21 16:28:01,2019-06-21 00:00:00,,2019-06-21 16:47:09,2019-06-21 16:32:17,1,224985,2,Abastecimento,N,CLEITON,ANDREF,Abastecimento,F
2019-06-21 16:26:15,2019-06-21 00:00:00,,2019-06-21 16:32:31,2019-06-21 16:27:45,1,224984,2,Cliente,C,NIETE OLIVEIRA,jeissonc,Deposito,F
2019-06-21 16:15:05,2019-06-21 00:00:00,,2019-06-21 16:22:35,2019-06-21 16:22:21,1,224981,1,Abastecimento,N,MarceloA,wildsono,Deposito,F
2019-06-21 16:10:37,2019-06-21 00:00:00,,2019-06-21 16:47:33,2019-06-21 16:32:46,1,224980,1,Abastecimento,N,camylag,ANDREF,Abastecimento,F
2019-06-21 16:09:23,2019-06-21 00:00:00,,2019-06-21 16:58:04,2019-06-21 16:13:24,1,224978,16,Abastecimento,N,leandrop,LEANDROP,Promotor,F
2019-06-21 16:08:32,2019-06-21 00:00:00,,2019-06-21 16:54:42,2019-06-21 16:16:26,1,224977,9,Abastecimento,N,JOAOO,JOAOO,Abastecimento,F
2019-06-21 16:08:04,2019-06-21 00:00:00,2019-06-21 16:11:43,,,1,224976,2,F.Shop 10,X,vivi,"",,F
2019-06-21 16:08:04,2019-06-21 00:00:00,,2019-06-21 16:20:48,2019-06-21 16:13:18,1,224975,1,Cliente,C,gersono,jeissonc,Deposito,F
2019-06-21 16:04:22,2019-06-21 00:00:00,,2019-06-21 16:14:04,2019-06-21 16:10:11,1,224973,1,Cliente,C,DANIELPONTES,micaelp,Deposito,F
2019-06-21 16:02:22,2019-06-21 00:00:00,,2019-06-21 16:09:25,2019-06-21 16:03:48,1,224972,1,Cliente,C,gersono,micaelp,Deposito,F
2019-06-21 15:56:15,2019-06-21 00:00:00,,2019-06-21 16:38:17,2019-06-21 16:37:10,1,224969,7,Abastecimento,N,JOEL YSON,wildsono,Deposito,F
2019-06-21 15:53:35,2019-06-21 00:00:00,,2019-06-21 16:02:20,2019-06-21 15:58:28,2,224968,1,Rota,R,CARLOSG,kevena,Deposito,F
2019-06-21 15:52:51,2019-06-21 00:00:00,,2019-06-21 16:01:35,2019-06-21 15:54:24,1,224966,1,Cliente,C,janicleisson,irandantas,Deposito,F
2019-06-21 15:47:17,2019-06-21 00:00:00,,2019-06-21 15:51:10,2019-06-21 15:51:03,1,224964,1,Cliente,C,ALBECIL,wildsono,Deposito,F
2019-06-21 15:44:33,2019-06-21 00:00:00,,2019-06-21 16:33:30,2019-06-21 15:46:25,1,224963,3,Abastecimento,N,camylag,ANDREF,Abastecimento,F
2019-06-21 15:44:19,2019-06-21 00:00:00,,2019-06-21 15:59:12,2019-06-21 15:48:46,1,224962,1,Cliente,C,maisac,DANIELB,Deposito,F
2019-06-21 15:42:57,2019-06-21 00:00:00,,2019-06-21 15:50:51,2019-06-21 15:50:32,1,224961,2,Cliente,C,MarceloA,wildsono,Deposito,F
2019-06-21 15:41:14,2019-06-21 00:00:00,,2019-06-21 16:48:03,2019-06-21 16:41:19,1,224960,3,Abastecimento,N,ROBERTAS,micaelp,Deposito,F
2019-06-21 15:39:21,2019-06-21 00:00:00,,2019-06-21 15:50:23,2019-06-21 15:41:10,1,224959,1,Abastecimento,N,DANIELS,micaelp,Deposito,F
2019-06-21 15:38:24,2019-06-21 00:00:00,,2019-06-21 16:34:19,2019-06-21 15:47:19,1,224958,3,Abastecimento,N,camylag,ANDREF,Abastecimento,F
2019-06-21 15:35:44,2019-06-21 00:00:00,,2019-06-21 17:01:50,2019-06-21 16:03:09,1,224957,11,Abastecimento,N,camylag,ALEFF,Abastecimento,F
